Area,AreaName,Males,Females,Total
142.5,Melbourne - Inner,299941,317072,617018
146.7,Melbourne - Inner East,179806,193669,373472
161.5,Melbourne - Inner South,203350,219288,422639
1851.3,Melbourne - North East,266882,273777,540664
1619.7,Melbourne - North West,210949,213385,424328
1878.6,Melbourne - Outer East,253546,264753,518301
1922.3,Melbourne - South East,429665,430395,860060
1416.4,Melbourne - West,426866,426189,853054
853.8,Mornington Peninsula,149718,158508,308226
