AreaName,Age_Groups,Population,Gender
Melbourne - Outer East,25-34 years,32234,Female
Melbourne - Outer East,35-44 years,36842,Female
Melbourne - Outer East,45-54 years,36762,Female
Melbourne - Outer East,55-64 years,33787,Female
Melbourne - Outer East,65-74 years,27731,Female
Melbourne - Outer East,75-84 years,16357,Female
Melbourne - Outer East,85 years and over,7282,Female
Melbourne - South East,0-4 years,29010,Male
Melbourne - South East,05-14 years,59004,Male
Melbourne - South East,15-19 years,26552,Male
Melbourne - South East,20-24 years,31952,Male
Melbourne - South East,25-34 years,68929,Male
Melbourne - South East,35-44 years,64140,Male
Melbourne - South East,45-54 years,51892,Male
Melbourne - South East,55-64 years,43062,Male
Melbourne - South East,65-74 years,30810,Male
Melbourne - South East,75-84 years,17994,Male
Melbourne - South East,85 years and over,6328,Male
Melbourne - South East,0-4 years,27442,Female
Melbourne - South East,05-14 years,55671,Female
Melbourne - South East,15-19 years,24988,Female
Melbourne - South East,20-24 years,28762,Female
Melbourne - South East,25-34 years,66444,Female
Melbourne - South East,35-44 years,64012,Female
Melbourne - South East,45-54 years,53359,Female
Melbourne - South East,55-64 years,44674,Female
Melbourne - South East,65-74 years,34490,Female
Melbourne - South East,75-84 years,20783,Female
Melbourne - South East,85 years and over,9768,Female
Melbourne - West,0-4 years,32451,Male
Melbourne - West,05-14 years,62232,Male
Melbourne - West,15-19 years,24223,Male
Melbourne - West,20-24 years,28223,Male
Melbourne - West,25-34 years,70814,Male
Melbourne - West,35-44 years,73482,Male
Melbourne - West,45-54 years,51521,Male
Melbourne - West,55-64 years,39381,Male
Melbourne - West,65-74 years,27746,Male
Melbourne - West,75-84 years,12961,Male
Melbourne - West,85 years and over,3818,Male
Melbourne - West,0-4 years,30538,Female
Melbourne - West,05-14 years,59072,Female
Melbourne - West,15-19 years,23082,Female
Melbourne - West,20-24 years,25110,Female
Melbourne - West,25-34 years,72199,Female
Melbourne - West,35-44 years,71635,Female
Melbourne - West,45-54 years,52192,Female
Melbourne - West,55-64 years,41202,Female
Melbourne - West,65-74 years,30017,Female
Melbourne - West,75-84 years,14698,Female
Melbourne - West,85 years and over,6447,Female
Mornington Peninsula,0-4 years,8473,Male
Mornington Peninsula,05-14 years,18907,Male
Mornington Peninsula,15-19 years,9155,Male
Mornington Peninsula,20-24 years,7944,Male
Mornington Peninsula,25-34 years,16476,Male
Mornington Peninsula,35-44 years,17951,Male
Mornington Peninsula,45-54 years,19988,Male
Mornington Peninsula,55-64 years,19136,Male
Mornington Peninsula,65-74 years,17371,Male
Mornington Peninsula,75-84 years,10652,Male
Mornington Peninsula,85 years and over,3666,Male
Mornington Peninsula,0-4 years,8053,Female
Mornington Peninsula,05-14 years,17917,Female
Mornington Peninsula,15-19 years,8283,Female
Mornington Peninsula,20-24 years,7452,Female
Mornington Peninsula,25-34 years,17164,Female
Mornington Peninsula,35-44 years,19583,Female
Mornington Peninsula,45-54 years,21605,Female
Mornington Peninsula,55-64 years,20994,Female
Mornington Peninsula,65-74 years,19666,Female
Mornington Peninsula,75-84 years,12419,Female
Mornington Peninsula,85 years and over,5380,Female
